respondent,years_coding,years_coding_prof
1414,15-17 years,NA
1415,9-11 years,3-5 years
1419,3-5 years,3-5 years
1420,6-8 years,6-8 years
1422,9-11 years,3-5 years
1423,27-29 years,0-2 years
1424,15-17 years,15-17 years
1425,9-11 years,6-8 years
1426,6-8 years,3-5 years
1427,15-17 years,9-11 years
1428,12-14 years,9-11 years
1430,3-5 years,3-5 years
1431,6-8 years,3-5 years
1432,6-8 years,3-5 years
1433,3-5 years,3-5 years
1434,3-5 years,NA
1436,21-23 years,9-11 years
1437,9-11 years,6-8 years
1438,15-17 years,9-11 years
1442,12-14 years,12-14 years
1443,3-5 years,3-5 years
1446,6-8 years,6-8 years
1447,9-11 years,3-5 years
1448,3-5 years,NA
1449,6-8 years,6-8 years
1450,12-14 years,12-14 years
1451,12-14 years,NA
1453,18-20 years,3-5 years
1454,18-20 years,18-20 years
1455,12-14 years,6-8 years
1457,12-14 years,NA
1458,12-14 years,3-5 years
1459,18-20 years,12-14 years
1460,6-8 years,3-5 years
1461,3-5 years,3-5 years
1462,9-11 years,3-5 years
1464,9-11 years,6-8 years
1465,15-17 years,6-8 years
1466,9-11 years,0-2 years
1468,3-5 years,3-5 years
1469,15-17 years,9-11 years
1470,3-5 years,3-5 years
1471,0-2 years,NA
1472,15-17 years,15-17 years
1473,6-8 years,6-8 years
1477,21-23 years,NA
1478,0-2 years,0-2 years
1479,9-11 years,6-8 years
1480,3-5 years,0-2 years
1481,18-20 years,9-11 years
1482,6-8 years,6-8 years
1483,6-8 years,3-5 years
1484,12-14 years,9-11 years
1486,6-8 years,0-2 years
1488,6-8 years,NA
1489,3-5 years,3-5 years
1490,0-2 years,NA
1491,6-8 years,0-2 years
1492,3-5 years,3-5 years
1493,3-5 years,3-5 years
1495,18-20 years,9-11 years
1496,6-8 years,NA
1497,6-8 years,3-5 years
1498,18-20 years,6-8 years
1499,24-26 years,21-23 years
1500,6-8 years,6-8 years
1501,0-2 years,0-2 years
1502,9-11 years,NA
1503,6-8 years,0-2 years
1504,12-14 years,6-8 years
1505,30 or more years,30 or more years
1506,30 or more years,9-11 years
1507,6-8 years,6-8 years
1508,30 or more years,30 or more years
1509,9-11 years,6-8 years
1510,3-5 years,3-5 years
1513,9-11 years,0-2 years
1516,3-5 years,3-5 years
1517,12-14 years,6-8 years
1518,NA,12-14 years
1519,3-5 years,0-2 years
1520,12-14 years,3-5 years
1522,24-26 years,21-23 years
1523,30 or more years,30 or more years
1524,6-8 years,0-2 years
1526,6-8 years,6-8 years
1527,30 or more years,30 or more years
1530,21-23 years,3-5 years
1531,0-2 years,0-2 years
1532,3-5 years,3-5 years
1537,15-17 years,9-11 years
1538,6-8 years,3-5 years
1540,6-8 years,0-2 years
1541,21-23 years,21-23 years
1543,30 or more years,30 or more years
1544,6-8 years,0-2 years
1546,6-8 years,NA
1547,6-8 years,3-5 years
1549,6-8 years,0-2 years
1550,6-8 years,3-5 years
1551,0-2 years,3-5 years
1552,3-5 years,0-2 years
1553,0-2 years,0-2 years
1554,6-8 years,3-5 years
1555,9-11 years,6-8 years
1556,6-8 years,3-5 years
1557,9-11 years,9-11 years
1560,6-8 years,0-2 years
1562,6-8 years,6-8 years
1563,6-8 years,0-2 years
1565,6-8 years,NA
1566,3-5 years,0-2 years
1567,9-11 years,6-8 years
1568,3-5 years,NA
1569,9-11 years,0-2 years
1571,15-17 years,9-11 years
1573,18-20 years,NA
1578,15-17 years,6-8 years
1579,9-11 years,6-8 years
1581,3-5 years,0-2 years
1582,12-14 years,12-14 years
1583,9-11 years,9-11 years
1585,6-8 years,3-5 years
1586,3-5 years,0-2 years
1587,18-20 years,9-11 years
1588,3-5 years,0-2 years
1589,18-20 years,15-17 years
1590,3-5 years,3-5 years
1592,3-5 years,3-5 years
1593,15-17 years,9-11 years
1594,12-14 years,3-5 years
1595,0-2 years,NA
1596,0-2 years,0-2 years
1598,0-2 years,NA
1601,0-2 years,NA
1602,3-5 years,0-2 years
1603,18-20 years,6-8 years
1604,3-5 years,0-2 years
1605,6-8 years,NA
1606,3-5 years,0-2 years
1607,6-8 years,6-8 years
1608,9-11 years,6-8 years
1609,0-2 years,6-8 years
1611,27-29 years,9-11 years
1612,15-17 years,6-8 years
1613,3-5 years,NA
1616,6-8 years,3-5 years
1618,27-29 years,21-23 years
1619,6-8 years,6-8 years
1620,12-14 years,12-14 years
1621,9-11 years,0-2 years
1627,18-20 years,12-14 years
1628,9-11 years,0-2 years
1631,6-8 years,3-5 years
1632,9-11 years,3-5 years
1633,3-5 years,3-5 years
1635,15-17 years,NA
1636,3-5 years,0-2 years
1637,15-17 years,9-11 years
1638,9-11 years,3-5 years
1639,9-11 years,NA
1640,15-17 years,12-14 years
1641,3-5 years,3-5 years
1642,9-11 years,6-8 years
1643,30 or more years,30 or more years
1644,3-5 years,3-5 years
1645,9-11 years,6-8 years
1646,6-8 years,6-8 years
1648,12-14 years,15-17 years
1649,6-8 years,0-2 years
1650,3-5 years,3-5 years
1652,0-2 years,0-2 years
1653,6-8 years,3-5 years
1654,24-26 years,15-17 years
1655,0-2 years,0-2 years
1660,3-5 years,0-2 years
1663,6-8 years,3-5 years
1664,15-17 years,12-14 years
1665,3-5 years,3-5 years
1666,15-17 years,15-17 years
1667,6-8 years,6-8 years
1668,9-11 years,6-8 years
1671,9-11 years,9-11 years
1672,12-14 years,12-14 years
1673,6-8 years,3-5 years
1674,9-11 years,6-8 years
1676,3-5 years,0-2 years
1677,6-8 years,3-5 years
1680,6-8 years,3-5 years
1681,9-11 years,3-5 years
1682,18-20 years,9-11 years
1684,9-11 years,3-5 years
1685,6-8 years,0-2 years
1686,3-5 years,3-5 years
1687,6-8 years,0-2 years
1688,18-20 years,18-20 years
1689,9-11 years,NA
1692,6-8 years,0-2 years
1693,0-2 years,NA
1694,18-20 years,9-11 years
1695,12-14 years,NA
1696,3-5 years,0-2 years
1697,6-8 years,3-5 years
1699,6-8 years,3-5 years
1701,12-14 years,9-11 years
1702,12-14 years,6-8 years
1703,3-5 years,3-5 years
1704,9-11 years,NA
1705,30 or more years,30 or more years
1706,18-20 years,12-14 years
1707,6-8 years,6-8 years
1710,6-8 years,3-5 years
1711,3-5 years,3-5 years
1712,9-11 years,NA
1713,15-17 years,15-17 years
1714,12-14 years,12-14 years
1715,3-5 years,NA
1716,3-5 years,0-2 years
1717,12-14 years,9-11 years
1719,12-14 years,3-5 years
1720,3-5 years,0-2 years
1722,9-11 years,9-11 years
1724,3-5 years,3-5 years
1726,9-11 years,3-5 years
1728,3-5 years,3-5 years
1729,15-17 years,9-11 years
1730,0-2 years,0-2 years
1733,6-8 years,3-5 years
1735,15-17 years,6-8 years
1736,3-5 years,0-2 years
1737,3-5 years,NA
1738,12-14 years,9-11 years
1740,6-8 years,6-8 years
1741,18-20 years,18-20 years
1742,15-17 years,9-11 years
1743,0-2 years,0-2 years
1744,0-2 years,0-2 years
1745,6-8 years,3-5 years
1746,0-2 years,NA
1747,6-8 years,3-5 years
1748,30 or more years,18-20 years
1749,12-14 years,9-11 years
1750,6-8 years,3-5 years
1751,18-20 years,NA
1752,3-5 years,3-5 years
1753,3-5 years,0-2 years
1755,3-5 years,NA
1756,9-11 years,NA
1757,18-20 years,15-17 years
1758,15-17 years,12-14 years
1759,12-14 years,12-14 years
1764,18-20 years,6-8 years
1765,15-17 years,15-17 years
1766,3-5 years,0-2 years
1767,3-5 years,0-2 years
1768,9-11 years,6-8 years
1770,6-8 years,3-5 years
1771,12-14 years,6-8 years
1773,3-5 years,0-2 years
1774,21-23 years,18-20 years
1777,12-14 years,3-5 years
1778,9-11 years,6-8 years
1779,3-5 years,3-5 years
1780,24-26 years,21-23 years
1781,6-8 years,0-2 years
1782,9-11 years,3-5 years
1783,6-8 years,3-5 years
1784,6-8 years,3-5 years
1786,30 or more years,30 or more years
1788,3-5 years,0-2 years
1789,3-5 years,0-2 years
1790,3-5 years,3-5 years
1791,0-2 years,0-2 years
1795,3-5 years,3-5 years
1796,3-5 years,3-5 years
1797,27-29 years,12-14 years
1800,18-20 years,6-8 years
1801,3-5 years,0-2 years
1802,12-14 years,9-11 years
1803,3-5 years,0-2 years
1804,3-5 years,3-5 years
1805,3-5 years,NA
1806,3-5 years,NA
1807,3-5 years,0-2 years
1808,21-23 years,15-17 years
1811,3-5 years,NA
1812,0-2 years,NA
1813,6-8 years,6-8 years
1814,0-2 years,0-2 years
1816,3-5 years,NA
1819,6-8 years,6-8 years
1821,0-2 years,NA
1823,3-5 years,0-2 years
1825,0-2 years,0-2 years
1826,6-8 years,6-8 years
1827,0-2 years,0-2 years
1828,3-5 years,3-5 years
1831,6-8 years,0-2 years
1833,6-8 years,6-8 years
1834,9-11 years,9-11 years
1835,15-17 years,15-17 years
1836,9-11 years,3-5 years
1837,3-5 years,0-2 years
1838,12-14 years,6-8 years
1839,6-8 years,NA
1842,21-23 years,18-20 years
1843,12-14 years,3-5 years
1844,3-5 years,0-2 years
1845,3-5 years,0-2 years
1846,3-5 years,3-5 years
1848,0-2 years,0-2 years
1849,6-8 years,3-5 years
1852,9-11 years,9-11 years
1853,3-5 years,3-5 years
1854,9-11 years,6-8 years
1855,6-8 years,0-2 years
1856,9-11 years,6-8 years
1857,6-8 years,3-5 years
1858,18-20 years,18-20 years
1861,9-11 years,NA
1862,12-14 years,3-5 years
1863,6-8 years,9-11 years
1864,15-17 years,12-14 years
1865,3-5 years,3-5 years
1866,6-8 years,3-5 years
1867,15-17 years,12-14 years
1868,3-5 years,0-2 years
1869,30 or more years,15-17 years
1870,15-17 years,9-11 years
1871,3-5 years,3-5 years
1872,27-29 years,21-23 years
1873,24-26 years,3-5 years
1874,15-17 years,12-14 years
1876,6-8 years,NA
1878,12-14 years,6-8 years
1880,3-5 years,0-2 years
1882,6-8 years,3-5 years
1884,3-5 years,3-5 years
1885,9-11 years,NA
1886,3-5 years,3-5 years
1887,15-17 years,6-8 years
1888,18-20 years,18-20 years
1889,15-17 years,3-5 years
1890,6-8 years,6-8 years
1893,6-8 years,3-5 years
1895,3-5 years,3-5 years
1896,9-11 years,3-5 years
1898,0-2 years,0-2 years
1899,6-8 years,NA
1900,3-5 years,3-5 years
1901,3-5 years,NA
1902,6-8 years,6-8 years
1903,9-11 years,3-5 years
1904,3-5 years,NA
1905,9-11 years,6-8 years
1906,6-8 years,6-8 years
1907,15-17 years,15-17 years
1908,6-8 years,NA
1909,6-8 years,0-2 years
1910,3-5 years,0-2 years
1911,6-8 years,0-2 years
1912,3-5 years,NA
1913,3-5 years,NA
1915,18-20 years,12-14 years
1916,0-2 years,0-2 years
1917,18-20 years,18-20 years
1918,3-5 years,0-2 years
1919,9-11 years,6-8 years
1920,3-5 years,3-5 years
1921,3-5 years,0-2 years
1924,9-11 years,6-8 years
1926,3-5 years,0-2 years
1928,0-2 years,NA
1929,3-5 years,3-5 years
1930,12-14 years,12-14 years
1931,6-8 years,0-2 years
1932,15-17 years,9-11 years
1933,6-8 years,NA
1936,15-17 years,9-11 years
1937,0-2 years,0-2 years
1938,18-20 years,18-20 years
1939,3-5 years,NA
1940,3-5 years,NA
1941,9-11 years,3-5 years
1942,9-11 years,3-5 years
1943,9-11 years,9-11 years
1945,6-8 years,3-5 years
1947,3-5 years,3-5 years
1948,3-5 years,NA
1950,3-5 years,0-2 years
1951,24-26 years,18-20 years
1955,3-5 years,3-5 years
1956,3-5 years,0-2 years
1957,15-17 years,15-17 years
1960,18-20 years,12-14 years
1962,9-11 years,0-2 years
1963,12-14 years,6-8 years
1965,6-8 years,0-2 years
1966,3-5 years,NA
1967,6-8 years,0-2 years
1968,3-5 years,3-5 years
1971,3-5 years,0-2 years
1972,3-5 years,3-5 years
1973,15-17 years,15-17 years
1974,12-14 years,6-8 years
1975,3-5 years,0-2 years
1978,9-11 years,3-5 years
1979,15-17 years,12-14 years
1981,18-20 years,15-17 years
1982,3-5 years,0-2 years
1987,24-26 years,18-20 years
1988,6-8 years,6-8 years
1989,24-26 years,24-26 years
1991,3-5 years,0-2 years
1992,30 or more years,30 or more years
1995,18-20 years,15-17 years
1997,18-20 years,9-11 years
1998,18-20 years,15-17 years
2000,12-14 years,12-14 years
2002,18-20 years,15-17 years
2003,9-11 years,3-5 years
2004,9-11 years,6-8 years
2005,6-8 years,3-5 years
2006,9-11 years,0-2 years
2007,15-17 years,9-11 years
2008,12-14 years,NA
2009,6-8 years,3-5 years
2010,6-8 years,6-8 years
2012,3-5 years,NA
2013,12-14 years,12-14 years
2014,12-14 years,NA
2016,6-8 years,3-5 years
2017,3-5 years,0-2 years
2018,6-8 years,6-8 years
2020,3-5 years,3-5 years
2021,6-8 years,6-8 years
2023,6-8 years,0-2 years
2024,6-8 years,6-8 years
2025,9-11 years,9-11 years
2027,9-11 years,6-8 years
2028,21-23 years,15-17 years
2029,3-5 years,NA
2031,3-5 years,0-2 years
2033,6-8 years,3-5 years
2035,6-8 years,0-2 years
2036,3-5 years,3-5 years
2037,27-29 years,15-17 years
2040,9-11 years,3-5 years
2041,18-20 years,18-20 years
2042,3-5 years,NA
2043,9-11 years,NA
2044,15-17 years,3-5 years
2045,6-8 years,3-5 years
2046,15-17 years,12-14 years
2047,6-8 years,0-2 years
2048,0-2 years,0-2 years
2049,9-11 years,NA
2051,9-11 years,6-8 years
2052,15-17 years,15-17 years
2053,18-20 years,12-14 years
2055,15-17 years,12-14 years
2056,3-5 years,0-2 years
2058,6-8 years,NA
2059,3-5 years,0-2 years
2060,0-2 years,0-2 years
2061,27-29 years,9-11 years
2062,30 or more years,30 or more years
2064,3-5 years,3-5 years
2065,15-17 years,6-8 years
2066,6-8 years,3-5 years
2067,0-2 years,0-2 years
2068,3-5 years,NA
2069,6-8 years,0-2 years
2071,6-8 years,NA
2072,9-11 years,9-11 years
2073,12-14 years,6-8 years
2074,15-17 years,NA
2076,6-8 years,3-5 years
2078,30 or more years,21-23 years
2079,6-8 years,3-5 years
2080,9-11 years,3-5 years
2081,18-20 years,9-11 years
2083,6-8 years,3-5 years
2085,6-8 years,0-2 years
2087,12-14 years,12-14 years
2088,3-5 years,0-2 years
2089,6-8 years,9-11 years
2090,15-17 years,9-11 years
2091,6-8 years,NA
2093,18-20 years,NA
2094,6-8 years,3-5 years
2095,9-11 years,NA
2096,6-8 years,3-5 years
2097,30 or more years,18-20 years
2098,9-11 years,6-8 years
2099,30 or more years,30 or more years
2100,3-5 years,0-2 years
2101,6-8 years,NA
2102,6-8 years,6-8 years
2103,6-8 years,6-8 years
2104,9-11 years,9-11 years
2105,3-5 years,0-2 years
2106,6-8 years,3-5 years
2108,0-2 years,0-2 years
2109,6-8 years,6-8 years
2111,6-8 years,6-8 years
2112,9-11 years,0-2 years
2113,15-17 years,6-8 years
2114,6-8 years,3-5 years
2115,0-2 years,0-2 years
2118,18-20 years,15-17 years
2119,6-8 years,NA
2120,0-2 years,0-2 years
2121,6-8 years,3-5 years
2122,3-5 years,3-5 years
2123,18-20 years,15-17 years
2124,3-5 years,0-2 years
2125,6-8 years,NA
2126,3-5 years,0-2 years
2128,3-5 years,NA
2129,15-17 years,12-14 years
2131,0-2 years,0-2 years
2135,0-2 years,NA
2136,3-5 years,3-5 years
2137,3-5 years,0-2 years
2139,3-5 years,3-5 years
2140,3-5 years,NA
2141,3-5 years,3-5 years
2142,9-11 years,9-11 years
2144,30 or more years,30 or more years
2145,15-17 years,15-17 years
2146,9-11 years,6-8 years
2148,3-5 years,NA
2149,6-8 years,0-2 years
2150,9-11 years,6-8 years
2152,3-5 years,3-5 years
2153,6-8 years,NA
2154,0-2 years,NA
2155,9-11 years,9-11 years
2159,0-2 years,0-2 years
2160,3-5 years,0-2 years
2161,9-11 years,9-11 years
2162,3-5 years,0-2 years
2163,3-5 years,NA
2164,12-14 years,6-8 years
2165,3-5 years,3-5 years
2166,9-11 years,3-5 years
2167,9-11 years,3-5 years
2169,6-8 years,3-5 years
2172,3-5 years,0-2 years
2174,9-11 years,3-5 years
2175,6-8 years,0-2 years
2177,12-14 years,12-14 years
2178,6-8 years,6-8 years
2179,9-11 years,6-8 years
2180,30 or more years,27-29 years
2182,6-8 years,3-5 years
2183,6-8 years,0-2 years
2185,6-8 years,3-5 years
2186,21-23 years,18-20 years
2187,21-23 years,15-17 years
2188,12-14 years,0-2 years
2189,12-14 years,9-11 years
2190,21-23 years,12-14 years
2193,3-5 years,0-2 years
2195,30 or more years,21-23 years
2196,0-2 years,NA
2199,6-8 years,3-5 years
2202,21-23 years,21-23 years
2204,3-5 years,0-2 years
2206,9-11 years,3-5 years
2207,3-5 years,3-5 years
2208,9-11 years,NA
2210,3-5 years,3-5 years
2213,6-8 years,3-5 years
2214,18-20 years,18-20 years
2216,0-2 years,0-2 years
2217,9-11 years,0-2 years
2218,3-5 years,0-2 years
2219,6-8 years,3-5 years
2223,12-14 years,6-8 years
2225,3-5 years,0-2 years
2226,15-17 years,15-17 years
2228,3-5 years,3-5 years
2229,3-5 years,3-5 years
2230,3-5 years,0-2 years
2233,3-5 years,3-5 years
2234,3-5 years,3-5 years
2235,30 or more years,9-11 years
2236,12-14 years,9-11 years
2237,0-2 years,0-2 years
2239,6-8 years,3-5 years
2240,9-11 years,3-5 years
2242,9-11 years,9-11 years
2243,21-23 years,12-14 years
2244,30 or more years,NA
2245,0-2 years,0-2 years
2247,3-5 years,NA
2248,30 or more years,27-29 years
2249,3-5 years,NA
2251,6-8 years,0-2 years
2253,6-8 years,3-5 years
2254,18-20 years,15-17 years
2255,6-8 years,3-5 years
2257,24-26 years,12-14 years
2258,12-14 years,3-5 years
2259,18-20 years,18-20 years
2260,6-8 years,3-5 years
2261,0-2 years,NA
2262,9-11 years,3-5 years
2264,21-23 years,12-14 years
2265,15-17 years,9-11 years
2266,3-5 years,0-2 years
2267,6-8 years,3-5 years
2268,21-23 years,18-20 years
2269,6-8 years,3-5 years
2270,6-8 years,6-8 years
2272,0-2 years,0-2 years
2274,6-8 years,NA
2276,9-11 years,0-2 years
2277,27-29 years,0-2 years
2282,9-11 years,0-2 years
2283,3-5 years,3-5 years
2284,6-8 years,3-5 years
2285,3-5 years,0-2 years
2286,3-5 years,0-2 years
2288,21-23 years,21-23 years
2289,15-17 years,12-14 years
2290,6-8 years,3-5 years
2291,12-14 years,6-8 years
2292,12-14 years,12-14 years
2297,9-11 years,3-5 years
2299,0-2 years,0-2 years
2301,12-14 years,NA
2302,12-14 years,9-11 years
2303,6-8 years,0-2 years
2304,6-8 years,3-5 years
2305,3-5 years,0-2 years
2306,15-17 years,6-8 years
2308,27-29 years,3-5 years
2309,3-5 years,3-5 years
2310,3-5 years,3-5 years
2314,18-20 years,18-20 years
2315,27-29 years,3-5 years
2320,6-8 years,0-2 years
2321,12-14 years,9-11 years
2322,9-11 years,9-11 years
2323,9-11 years,3-5 years
2325,12-14 years,9-11 years
2328,6-8 years,3-5 years
2329,9-11 years,9-11 years
2330,18-20 years,3-5 years
2331,3-5 years,3-5 years
2333,3-5 years,3-5 years
2334,9-11 years,0-2 years
2335,3-5 years,NA
2336,6-8 years,3-5 years
2337,6-8 years,0-2 years
2338,9-11 years,3-5 years
2341,9-11 years,0-2 years
2342,30 or more years,30 or more years
2343,21-23 years,15-17 years
2344,27-29 years,21-23 years
2347,3-5 years,6-8 years
2348,3-5 years,3-5 years
2351,3-5 years,3-5 years
2352,9-11 years,3-5 years
2353,6-8 years,NA
2354,0-2 years,0-2 years
2355,9-11 years,0-2 years
2356,3-5 years,3-5 years
2357,9-11 years,6-8 years
2360,6-8 years,0-2 years
2361,6-8 years,3-5 years
2362,6-8 years,3-5 years
2363,12-14 years,9-11 years
2364,12-14 years,NA
2365,6-8 years,0-2 years
2366,3-5 years,3-5 years
2367,3-5 years,0-2 years
2368,12-14 years,6-8 years
2369,15-17 years,12-14 years
2370,0-2 years,0-2 years
2371,6-8 years,0-2 years
2374,24-26 years,21-23 years
2375,6-8 years,3-5 years
2376,6-8 years,0-2 years
2377,12-14 years,9-11 years
2379,0-2 years,0-2 years
2380,12-14 years,12-14 years
2382,9-11 years,3-5 years
2383,6-8 years,0-2 years
2385,15-17 years,NA
2386,12-14 years,12-14 years
2387,9-11 years,3-5 years
2388,9-11 years,6-8 years
2389,9-11 years,9-11 years
2390,9-11 years,0-2 years
2393,3-5 years,NA
2394,6-8 years,0-2 years
2395,6-8 years,3-5 years
2396,6-8 years,0-2 years
2397,6-8 years,3-5 years
2398,15-17 years,NA
2399,15-17 years,12-14 years
2400,3-5 years,3-5 years
2402,6-8 years,3-5 years
2403,3-5 years,0-2 years
2404,6-8 years,3-5 years
2405,12-14 years,9-11 years
2406,3-5 years,3-5 years
2409,9-11 years,6-8 years
2411,21-23 years,15-17 years
2413,6-8 years,6-8 years
2415,3-5 years,NA
2416,21-23 years,15-17 years
2417,6-8 years,0-2 years
2418,30 or more years,NA
2421,0-2 years,NA
2423,6-8 years,0-2 years
2424,21-23 years,18-20 years
2425,0-2 years,0-2 years
2426,3-5 years,3-5 years
2428,9-11 years,6-8 years
2429,6-8 years,3-5 years
2430,3-5 years,0-2 years
2431,15-17 years,12-14 years
2433,30 or more years,24-26 years
2438,9-11 years,9-11 years
2440,12-14 years,6-8 years
2441,6-8 years,0-2 years
2442,15-17 years,0-2 years
2443,9-11 years,0-2 years
2444,12-14 years,9-11 years
2446,6-8 years,3-5 years
2447,3-5 years,3-5 years
2448,9-11 years,6-8 years
2449,3-5 years,3-5 years
2450,0-2 years,0-2 years
2451,9-11 years,3-5 years
2452,3-5 years,0-2 years
2454,12-14 years,0-2 years
2455,12-14 years,9-11 years
2456,12-14 years,6-8 years
2459,9-11 years,9-11 years
2460,9-11 years,NA
2461,0-2 years,NA
2462,9-11 years,3-5 years
2463,18-20 years,NA
2464,9-11 years,3-5 years
2465,6-8 years,3-5 years
2466,0-2 years,0-2 years
2468,6-8 years,0-2 years
2469,12-14 years,9-11 years
2470,3-5 years,0-2 years
2472,6-8 years,0-2 years
2473,9-11 years,6-8 years
2475,9-11 years,9-11 years
2476,12-14 years,NA
2477,0-2 years,NA
2478,12-14 years,6-8 years
2480,9-11 years,9-11 years
2481,3-5 years,0-2 years
2482,6-8 years,0-2 years
2483,3-5 years,NA
2484,9-11 years,3-5 years
2485,3-5 years,3-5 years
2486,12-14 years,3-5 years
2487,9-11 years,0-2 years
2489,3-5 years,NA
2490,27-29 years,NA
2491,3-5 years,3-5 years
2494,24-26 years,12-14 years
2496,0-2 years,0-2 years
2497,3-5 years,0-2 years
2498,3-5 years,0-2 years
2500,3-5 years,0-2 years
2501,12-14 years,0-2 years
2502,3-5 years,0-2 years
2503,21-23 years,15-17 years
2505,12-14 years,NA
2506,6-8 years,0-2 years
2507,30 or more years,24-26 years
2508,3-5 years,NA
2510,6-8 years,0-2 years
2511,3-5 years,3-5 years
2512,6-8 years,6-8 years
2513,0-2 years,0-2 years
2514,3-5 years,0-2 years
2515,3-5 years,0-2 years
2517,3-5 years,0-2 years
2521,9-11 years,9-11 years
2522,6-8 years,3-5 years
2523,6-8 years,3-5 years
